ALLOWANCES WEEKLY BIWEEKLY SEMIMONTHLY MONTHLY QUARTERLY SEMIANNUAL ANNUAL DAILY
0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1 2.20 4.40 4.77 9.53 28.60 57.20 114.40 0.44
2 4.40 8.80 9.53 19.07 57.20 114.40 228.80 0.88
3 6.60 13.20 14.30 28.60 85.80 171.60 343.20 1.32
4 8.80 17.60 19.07 38.13 114.40 228.80 457.60 1.76
5 11.00 22.00 23.83 47.67 143.00 286.00 572.00 2.20
6 13.20 26.40 28.60 57.20 171.60 343.20 686.40 2.64
7 15.40 30.80 33.37 66.73 200.20 400.40 800.80 3.08
8 17.60 35.20 38.13 76.27 228.80 457.60 915.20 3.52
9 19.80 39.60 42.90 85.80 257.40 514.80 1029.60 3.96
10 22.00 44.00 47.67 95.33 286.00 572.00 1144.00 4.40
